Company name,Booth number,Company location,Twitter,Linkedin,Facebook,Website,Description,Focus areas
Berlin-Brandenburg Pavilion c/o Berlin Partner for Business and Technology,Booth 1445,"Berlin, Germany",https://twitter.com/BerlinPartner,https://www.linkedin.com/company/berlin-partner-gmbh,https://facebook.com/BerlinPartner,http://www.berlin-partner.de,Berlin Partner is the organizer of the official presentation of the German Capital Region Berlin-Brandenburg at BIO 2023.,"Regional/Economic Development, Associations"
BeCYTES Biotechnologies,Booth 443,"Barcelona, Spain",,https://www.linkedin.com/company/becytes-biotechnologies/,,http://www.becytesbiotechnologies.com/,"At BeCytes, we are passionate about guiding the progress in preclinical research and improving human health. That's why we offer life science researchers a diverse range of solutions that are tailored to meet their unique needs, from providing primary hepatic cells to sourcing human tissue for research and related services.",
BIO Lounge,Booth 3085,"Washington DC, District of Columbia, United States",,,,http://WWW.BIO.ORG,,
Belgian Volition SA,Booth 1664,"ISNES, Belgium",,,,http://volitionrx.com,,
BIO,"Booth 2585, 351","Washington, District of Columbia, United States",,,,http://www.convention.bio.org,,
BIO Exhibit Sales Office,Booth 146,"Washington, District of Columbia, United States",,,,http://www.convention.bio.org,,
Big Data Mobile Company,Booth 743,"Taipei City, Taiwan",,,,,,
BioAlps Association,Booth 1743,"Geneva, Geneva, Switzerland",,,,,,Associations
Biocluster Nuevo León,Booth 3535,"San Pedro Garza García, Nuevo León, Mexico",,https://www.linkedin.com/company/biocluster/,https://www.facebook.com/Biocluster,https://www.bioclusternl.org/,"We are a cluster association focused on promoting and developing the life sciences industry in the State of Nuevo Leon, Mexico. Our members como from a diverse background of industries, such as AgBio, Biopharmaceuticals, In-Vitro Diagnostics, Biomanufacturing, etc.","Tech Transfer, Regional/Economic Development, Associations"
BioArk SA,Booth 1743,"Monthey, Valais, Switzerland",,https://www.linkedin.com/company/bioark-sa/,,http://www.bioark.ch,"BioArk is The life sciences community of the canton of Valais in Switzerland! Homeland of the Pharma and Biotech manufacturing in Switzerland, BioArk gather an ecosystem of large multinationals, SMEs and start-up making our region the place to be in center of Europe.","Incubator/Technology Park, Regional/Economic Development"
Bioatlas,Booth 3145,"Tartu, Estonia",,,,http://www.bioatlas.com,"Bioatlas has focused on the development of PCR and agarose gel electrophoresis reagents for over 15 years. Our main goal is to revolutionize agarose gel preparation around the world with the help of our partners. Our safe DNA stains and patented tablet technology are already introduced to many countries and numerous institutions, including educational system in USA.","Supplies, CRO & Analytical Labs, Distributor"
BioAdvance,Booth 1935,"Radnor, Pennsylvania, United States",,,,http://bioadvance.com,"BioAdvance is a $80-million early-stage life sciences fund with a focus in the mid-Atlantic region, investing in companies that have the potential to improve human health. Since making its first investments in 2003, BioAdvance has committed more than $66 million in funding to approximately 106 organizations developing more than 201 products in the diagnostics, therapeutic, medtech, research tools and digital health sectors. BioAdvance portfolio companies have leveraged $4.08 billion in subsequent capital, including proceeds from acquisitions. Eleven products have received FDA approval. For more information, please visit www.bioadvance.com.","VC/PE, Regional/Economic Development"
Bio-Techne,Booth 2853,"San Jose, California, United States",,,,https://www.bio-techne.com/,"Bio-Techne offers precision medicine services to pharma partners spanning the continuum from biomarker discovery to post-market commercialization of companion diagnostic products. Our platform-agnostic approach to biomarker discovery and clinical trial assay development, paired with clinical trial sample testing readiness at our CLIA labs and international regulatory expertise allows us to offer customizable solutions so that a pharma partner can improve their drug’s likelihood of success and deliver novel treatments to the","Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Drug Delivery Device, Non Drug Delivery Device, Patient Monitoring Device"
Berkeley Investments,Booth 451,"Boston, Massachusetts, United States",,https://www.linkedin.com/company/berkeley-investments1/,,https://www.berkeleyinvestments.com/,"Berkeley is a Boston-based, certified MBE real estate investment and development company with 30 years of experience creating vibrant residential, commercial, arts, and life sciences spaces throughout the region. A vertically integrated firm with proven in-house property, asset, construction, and development management capabilities, Berkeley focuses on transit-oriented mixed-use properties and emphasizes innovative design.",
"Bio-Link Biological Applied Technologies (Shanghai) Co., Ltd.",Booth 2275,"Shanghai, Shanghai, China",,,,http://www.biolink.com,"Bio-Link Biological Applied Technologies (Shanghai) Co., Ltd. (Bio-Link) is a group of technology-driven businesses that provide products and process solutions in the life sciences industry. The company focuses on the development and production of the key processing equipment and materials for vaccines, antibodies, cell therapies, gene therapies and other biological products. Bio-Link's portfolio of offerings cover the entire upstream and downstream bioprocess such as cell culture, single-use mixing and storage, chromatography purification, filtration and ultrafiltration, as well as process development services. Bio-Link is committed to providing customers with high-quality, innovative products and solutions and strives to build an efficient, safe and competitive biopharmaceutical supply chain eco-system.","Molecular/Cellular Diagnostics, Research Technology, Instrumentation, Bioinformatics, Animal Health & Research, CRO & Analytical Labs, CMO"
Bio-Beat,Booth 2564,"Petach Tikva, Israel",,,,http://www.bio-beat.com,,"Patient Monitoring Device, Research Technology, Digital Health"
BIO NRW The Home of Biotech,Booth 1343,"Düsseldorf, Germany",,https://www.linkedin.com/company/65716353,,https://bio.nrw.de/,BIO.NRW is the catalyst for the sustainable,Regional/Economic Development
BIO Meet Up Lounge,Booth 2735,"Washington DC, District of Columbia, United States",,,,http://www.BIO.org,,
Biodextris,Booth 2049,"Laval, Quebec, Canada",,https://www.linkedin.com/company/biodextris/,,http://www.biodextris.com,,"Preclinical, Clinical, CRO & Analytical Labs, CMO"
BioConnection,Booth 575,"Oss, Netherlands",,,,http://www.bioconnection.eu,,CMO
Biocon Biologics Limited,Booth 3545,"Bengaluru, Karnataka, India",,,,http://www.biocon.com,,"Preclinical, Market - Drug (on patent), Market - Generics/OTC"
Biocom California,Booth 2935,"San Diego, California, United States",https://twitter.com/BiocomCA,https://www.linkedin.com/company/biocom-california/,https://www.facebook.com/BiocomCalifornia/,http://www.biocom.org,"For over 27 years, Biocom California has helped move the life science industry forward with transformative resources that enable companies to make meaningful connections. Biocom California harnesses the collective power and experience of the most innovative and productive life science clusters in the world, with powerful advocacy and transformative programs to help companies in their quest to improve the human condition.",Associations
Bioceres,Booth 2949,"Rosario, Santa Fe, Argentina",,,,http://www.bioceresgroup.com,,
BIO Process Theater,Booth 685,"Washington dc, District of Columbia, United States",,,,http://Bio.org,,
Biocatalysts Ltd,Booth 2085,"Pontypridd, United Kingdom",,,,http://www.biocatalysts.com,,
BioCC,Booth 3145,"Tartu, Estonia",,,,https://biocc.eu/,,
BioCT,Booth 534,"Groton, Connecticut, United States",https://twitter.com/BioCT_org,https://www.linkedin.com/company/5058906/,,http://www.bioct.org,"BioCT’s mission is to catalyze and accelerate growth in the life sciences with the goal of improving human health, by fostering a rich, innovative ecosystem and promoting Connecticut as a preferred destination for life science exploration and innovation.",
Biocom California,Booth 2035,"San Diego, California, United States",,,,http://www.biocom.org,,
BIOINGENIUM SL,Booth 443,"Barcelona, Spain",,,,,,
BioLabs - North Texas,Booth 1465,"Dallas, Texas, United States",,,,http://biolabs.io,,"Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Drug Delivery Device, Non Drug Delivery Device, Patient Monitoring Device, Incubator/Technology Park"
Biointron Biological Inc,Booth 3385,"Metuchen, New Jersey, United States",,https://www.linkedin.com/company/biointron/?viewAsMember=true,,http://www.biointron.com,"Founded in 2012，Biointron is committed to providing high quality and economic recombinant protein/antibody reagents and to be most reliable CRO vendor for life science researchers and biopharma companies. Biointron now has over 400 employees and over 14,600 M2 production area. We have served nearly 1,000 biotech/biopharma companies around the world. In 2020 alone, we delivered tens of thousands of recombinant antibodies to our customers.","Preclinical, Research Technology, CRO & Analytical Labs"
BioHouston,Booth 1472,"Houston, Texas, United States",,,,,,"Consulting, Marketing/Market Research, Regional/Economic Development, Associations"
Biological E. Limited,Booth 3545,"Hyderabad, Telangana, India",,,,http://biologicale.com,"Biological E. Limited (BioE), a Hyderabad-based Pharmaceuticals & Biologics Company founded in 1953, is the first private sector biological products company in India and the first pharmaceutical company in Southern India. BioE develops, manufactures and supplies vaccines and therapeutics. BioE supplies its vaccines to over 140 countries and its therapeutic products are sold in India and the USA. BioE has regulatory approvals from US FDA / EMEA and other major regulatory agencies across the globe for its vaccines/biologics and injectable facilities.","Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, CMO, Distributor"
Biolab Sanus Farmaceutica,Booth 1751,"Sao Paulo, São Paulo, Brazil",,https://www.linkedin.com/company/biolabfarmaceutica/,,https://www.biolabfarma.com.br/,"Biolab Pharma at a Glance: (1) Biolab is a 100% Brazilian pharmaceutical company focused on prescription products. (2). The company is ranked as the #3 largest sales force in the Brazilian Market, with 1,600 sales reps that visit over 320,000 doctors monthly. (3). We are among Brazil's top 10 pharmaceutical companies in sales in just 25 years of history. (4). For FY2023 is expected annual gross revenue of ~500MM. Ranked #5 prescription pharma. (5). Leading pharmaceutical private company in Brazil in sales and prescription in the cardiology field. (6). We have an extensive and robust portfolio in dermatology, gastroenterology, pediatrics, and central nervous system segments. (7). The company has over 3,500 fully dedicated employees to work with innovation from the operation to the top management. (8). We have high development capacity, state-of-the-art facilities with 4 manufacture sites, 3 R&D centers in Brazil, continuously invests in developing innovative products. (9). Biolab counting on promising R&D in Canada with various ""me better"" products based on differentiated technology platforms. (10). Innovation is the DNA of the company. Biolab is looking for partners that expect the best-in-class go-to-market for innovative products. (11). Biolab seeks distribution rights for Brazil and for some selected LATAM markets by financing other life sciences companies in the late stage, aiming to have life-enhancing and affordable products for patients. (12). We are interested in strategic and exclusive prescription products based on Radical and Incremental innovation (me better) with proven clinical trials and late-stage drug discoveries (Phase III). (13). The company has over 50 international partnerships of products from in-licensing deals ongoing with global pharma companies, such as Eli Lilly, Amgen, Takeda, Novartis, Ferring, Faes Pharma, Menarini, Kowa, among others.","Market - Drug (on patent), Market - Generics/OTC, Industrial Chemicals/Products"
BioGenes GmbH,Booth 934,"Berlin, Germany",https://twitter.com/BioGenesService,https://www.linkedin.com/company/biogenes-gmbh/,,http://biogenes.de,BioGenes: Superior Services Since 1992,"Clinical, Non-Molecular Diagnostics, Research Technology, Supplies, CRO & Analytical Labs, CMO"
Bioengineering AG,Booth 1743,"Wald, Zurich, Switzerland",,https://www.linkedin.com/company/bioengineering/,,http://www.bioengineering.ch,"Bioengineering AG is an indipendent and autonomous company that has been successfully turning customers' ideas into reality since 1972. We offer comprehensive solutions in the areas of Engineering & Design, Services, Plants, Bioprocess Control, Lab & Pilot, and Components. We build plants for the production of vaccines, biosimilars, starter cultures and other products and develop automation solutions and components for controlling and monitoring the plants. Over 50 years of experience in plant construction and our innovative strength enable us to successfully realise even the most complex plants.","Preclinical, Clinical, Research Technology, Industrial Chemicals/Products, Environmental, Food & Feed inputs, Animal Health & Research, CMO, Consulting, Tech Transfer"
BioMedSA,Booth 1465,"San Antonio, Texas, United States",,https://www.linkedin.com/company/biomedsa,,http://www.biomedsa.org,"A non-profit organization dedicated to the growth of the healthcare and bioscience sector in San Antonio and the surrounding region. We accomplish our mission by empowering companies to succeed, promoting the region, and creating actions for growth that benefit the industry and community-at-large. As the hub of the ecosystem, we make vital connections to resources and build collaborations.","Regional/Economic Development, Associations"
Biomatter,Booth 2455,"Vilnius, Lithuania",,www.linkedin.com/company/biomatter,,http://www.biomatter.ai,Biomatter (previously called Biomatter Designs) is a synthetic biology company that creates new proteins for health and sustainable manufacturing applications. The company has developed the Intelligent Architecture™ platform that addresses limitations of current engineering approaches to unlock completely new horizons for protein design and development.,"Molecular/Cellular Diagnostics, Research Technology, Bioinformatics, Industrial Chemicals/Products, Energy (Biofuels), Environmental, Food & Feed inputs"
Biomar Microbial Technologies,Booth 443,"Armunia. Leon, Spain",,,,http://www.biomarmt.com,,"Preclinical, Food & Feed inputs, Crop Production & enhancement, Animal Health & Research, CRO & Analytical Labs, CMO, Tech Transfer"
Biogenesis-Bago S.A.,Booth 2949,"Garin, Buenos Aires, Argentina",,https://www.linkedin.com/company/biogenesisbago/,https://www.facebook.com/BiogenesisBagoAr/,http://www.biogenesisbago.com,"Biogénesis Bagó is an international biotechnology company specialized in the development, manufacturing, and distribution of solutions for animal and environmental health.",Animal Health & Research
BioM,Booth 1435,"Martinsried, Germany",https://twitter.com/BioM_Munich,https://www.linkedin.com/company/9140855/,,http://bio-m.org,"BioM has been the development and management organization of the Munich Biotechnology Cluster since 1997. The BioM Cluster encompasses the Greater Munich area and today includes around 340 biotechnology and pharmaceutical companies as well as associated service providers. The core competence of the region is the development of innovative therapeutics, diagnostics, and underlying technologies, especially for personalized medicine.","Incubator/Technology Park, Regional/Economic Development"
Biogen,Booth 451,"Cambridge, Massachusetts, United States",https://twitter.com/biogen,https://www.linkedin.com/company/biogen-/,https://www.facebook.com/Biogen/,http://www.biogen.com/,"Founded in 1978, Biogen is a leading global biotechnology company that has pioneered multiple breakthrough innovations including a broad portfolio of medicines to treat multiple sclerosis, the first approved treatment for spinal muscular atrophy, and two co-developed treatments to address a defining pathology of Alzheimer’s disease. Biogen is advancing a pipeline of potential novel therapies across neurology, neuropsychiatry, specialized immunology and rare diseases and remains acutely focused on its purpose of serving humanity through science while advancing a healthier, more sustainable and equitable world.",
Bioinicia,Booth 1575,"Valencia, Spain",,,,,,
Biogen,Booth 235,"Cambridge, Massachusetts, United States",,,,http://www.biogen.com/,,
BioME,Booth 2185,"Portland, Maine, United States",,,,https://biomaine.org/,,
BIOGEN BRASIL,Booth 1751,"São Paulo, São Paulo, Brazil",,,,,,
BIOMAPAS,Booth 2455,"Kaunas, Lithuania",,,,http://biomapas.eu,,
biosaxony Management GmbH,Booth 1335,"Leipzig, Germany",,https://www.linkedin.com/company/biosaxony-management-gmbh/,,http://www.biosaxony.com,"biosaxony is the association of the biotechnology, medical technology and health economy sector in the region of Saxony, Germany. Its members represent the various companies, research institutes and lobbyists working in biotechnology and medtech and the related areas of engineering and material sciences in Saxony. It pulls the different strands of biotech and medtech together, gauges its members’ needs, and represents their interests.","Digital Health, VC/PE, Consulting, Marketing/Market Research, Tech Transfer, Incubator/Technology Park, Regional/Economic Development, Associations"
BIOSYNTH,Booth 2980,"Gardner, Massachusetts, United States",https://twitter.com/BiosynthGroup,https://www.linkedin.com/company/biosynth,,http://www.biosynth.com,"Securing Life Sciences Supply Chains - where Chemistry meets Biology, Products meet Services and Innovation meets Quality, Biosynth is at the Edge of Innovation. With an unrivalled research product portfolio of over a million products and end-to-end manufacturing services, we are science led and customer-focused to solve problems, taking pride in delivering products and projects that others cannot. Our expertise and capabilities run across Complex Chemicals, Peptides and Key Biologics all from one trusted partner. Supplying the pharmaceutical, life science and diagnostic sectors, along with customers across food, agrochemistry and cosmetics, we have facilities across three continents and a rapid global distribution network. We produce chemicals on the milligram to ton scale, and at ISO 9001 and GMP, with peptides at mg to multikilogram scale.","Preclinical, Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Research Technology, Industrial Chemicals/Products, CRO & Analytical Labs, CMO, Distributor"
BioTalent Canada,Booth 2149,"Ottawa, Ontario, Canada",https://twitter.com/BioTalentCanada,https://www.linkedin.com/company/biotalent-canada,https://www.facebook.com/biotalentcanada,https://www.biotalent.ca/,"BioTalent Canada supports the people behind life-changing science. Trusted as the go-to source for labour market intelligence, BioTalent Canada guides bio-economy stakeholders with evidence-based data and industry-driven standards. BioTalent Canada is focused on igniting the industry’s brainpower bridging the gap between job-ready talent and employers and ensuring the long-term agility, resiliency, and sustainability of one of Canada’s most vital sectors.",Associations
"Biosion, Inc.",Booth 2275,"Nanjing, Jiangsu, China",https://twitter.com/biosion_inc,https://www.linkedin.com/company/13591063/admin/,,https://www.biosion.com,"Biosion is a clinical-stage global biotechnology company committed to developing antibody-based therapies to improve patient outcomes for the treatment of immune and oncologic diseases. Established in 2017, Biosion has built a pipeline of innovative biologics through its internally derived proprietary technologies including the H³ antibody discovery platform, SynTracer® high-throughput endocytosis platform, and Flexibody™ bispecific platform. Biosion's lead asset, BSI-045B (anti-TSLP mAb), is currently in Phase 2 for severe asthma and entering Phase 2 for atopic dermatitis. Biosion and partners have plans to progress additional immune-oncology biologics and antibody drug conjugates into clinical trials for oncology indications over the next three years. Biosion has operations in the US, Australia, and China.","Preclinical, Clinical"
BioscienceLA,Booth 2035,"Culver City, California, United States",https://twitter.com/biosciencela,http://linkedin.com/company/biosciencela/,https://www.facebook.com/biosciencela,http://biosciencela.org,"Founded in 2018, BioscienceLA is the innovation catalyst for life sciences in the greater Los Angeles region, accelerating the growth of funding, space, and talent. The independent not-for-profit organization was seeded by LA County and has backing from Amgen, PhRMA, Richard Lundquist, Richard Merkin, City of Hope, and Cedars-Sinai, among others.","VC/PE, Angel or Family Office, Incubator/Technology Park, Regional/Economic Development, Associations"
BIOREP S.r.l.,Booth 2065,"Milan, Milan, Italy",,https://www.linkedin.com/company/biorep/,https://www.facebook.com/BioRep.it,http://www.biorep.it,360°BioSample Trials Management & DTx. ---,"Preclinical, Molecular/Cellular Diagnostics, Research Technology, Instrumentation, Supplies, Bioinformatics, Digital Health, CRO & Analytical Labs, Consulting"
BIOLOTUS,Booth 1751,"Rio De Janeiro, Rio de Janeiro, Brazil",,,,http://biolotus.com,,
Biopôle SA,Booth 1743,"Epalinges, Vaud, Switzerland",https://twitter.com/biopolelausanne,https://www.linkedin.com/company/biopole/,,http://www.biopole.ch,"Biopôle Lausanne is one of the largest life sciences campus in Europe, hosting a vibrant community of world-renowned industry players and research institutes, based in Lausanne, Switzerland (www.biopole.ch). It offers a world-class combination of modern infrastructure (134,000 sqm of office/lab space), added value services, an extensive network, innovation and funding programmes, and unparalleled community engagement where members can thrive and bring science to life.",Incubator/Technology Park
Biopeptek Pharmaceuticals LLC,Booth 580,"Malvern, Pennsylvania, United States",,,,http://biopeptek.com,,"Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, Industrial Chemicals/Products, CRO & Analytical Labs, CMO"
BioPharmaSpec,Booth 2981,"Malvern, Pennsylvania, United States",,https://www.linkedin.com/company/biopharmaspec-limited/about/,,http://Www.biopharmaspec.com,"BioPharmaSpec is a Contract Research Organization (CRO) specializing in structural characterization and physico-chemical analysis of recombinant biopharmaceuticals including monoclonal antibodies and associated products, Antibody Drug Conjugates (ADCs), oligonucleotides, PEGylated proteins, vaccines, fusion proteins, coagulation factors, blood circulating hormones and Biosimilars. We assist our clients throughout the product development lifecycle, including Initial clone selection, Forced degradation studies, Full characterization (ICH Q6b), Comparability, Host Cell Protein analysis .",CRO & Analytical Labs
BioPark Regensburg GmbH,Booth 1435,"Regensburg, Germany",,https://www.linkedin.com/company/biopark-regensburg-gmbh/,,http://www.biopark-regensburg.de,"BioPark Regensburg GmbH is an enterprise of the City of Regensburg and part of the promotion of the economy. Our key task is promoting biotechnology, medical engineering, diagnostics and analytics as well as healthcare at the location and in the region. To do this for one we operate a three laboratory building with an area of a total of 18,000 m2 on the grounds of the University of Regensburg, in which there are currently 35 leaseholders with 676 employees. For another we coordinate the active cluster management of the Regensburg Bioregion from here with at this time 66 companies and 5,340 employees in East Bavaria.","Molecular/Cellular Diagnostics, Bioinformatics, Digital Health, Consulting, Tech Transfer, Research Institute, Incubator/Technology Park, Regional/Economic Development"
BioNTX,Booth 1465,"Irving, Texas, United States",https://twitter.com/BioNorthTX,https://www.linkedin.com/company/biontx/,,https://www.biontx.org/,"BioNTX is the bioscience and healthcare innovation trade organization in North Texas, an affiliate of the Biotechnology Innovation Organization in Washington, DC. We are the bridge between businesses and job opportunities, providing direct cost savings services, networking events, and educational programming to the bioscience and healthcare innovation community in North Texas.","Preclinical, Clinical, Molecular/Cellular Diagnostics, Drug Delivery Device, Research Technology, Environmental, Crop Production & enhancement, Incubator/Technology Park, Regional/Economic Development, Associations"
Bionova Scientific LLC,Booth 3257,"Fremont, California, United States",,https://www.linkedin.com/company/bionova-scientific/,,http://www.bionovascientific.com,"Based in Fremont, California, Bionova Scientific is a rapidly growing biologics CDMO offering world-class services built on a foundation of strong process development and analytical science. Our team shares decades of experience in late stage and commercial launch projects, specializing in mammalian cell culture production of mAbs, bispecifics, fusion proteins and other recombinant proteins.","CMO, Consulting"
BIOQuebec,Booth 2049,"Bromont, Quebec, Canada",,,,http://bioquebec.com,,
BiomimX,Booth 1575,"Milano, Milan, Italy",,https://www.linkedin.com/company/biomimx/,,https://www.biomimx.com/,"BiomimX S.r.l. is a pioneer in proposing the next generation of clinically relevant in–vitro models: human, dynamic, 3D. BiomimX offers high-content, controlled and reliable in vitro setups (Beating Organs on Chip) to achieve a deeper insight on human biology, pivotal for the effective discovery of new therapies.","Preclinical, Research Technology, Supplies, CRO & Analytical Labs"
Biopharma Crescent,Booth 235,"Wilson, North Carolina, United States",,,,http://www.biopharmacrescent.com,,
Biotech City,Booth 2049,"Laval, Quebec, Canada",,,,,,
BIOPROFARMA BAGO,Booth 2949,"Capital Federal, Ciudad de Buenos Aires, Argentina",,,,http://www.bioprofarma-bago.com.ar,,
Bionovis,Booth 1751,"Valinhos, São Paulo, Brazil",,,,http://bionovis.com.br,,
BioNJ,Booth 651,"Trenton, New Jersey, United States",,,,http://www.bionj.org,,
BIOTECanada,Booth 2149,"Ottawa, Ontario, Canada",,,,http://www.biotech.ca,,
Biotoxtech,Booth 2464,"Cheongju-si, Korea, Republic of",,,,http://eng.biotoxtech.com,"BTT Groups, head-quartered in Korea, are the global non-clinical service providers composed of Biotoxtech and its subsidiary Keyfronbio and Keyprime Research.","Animal Health & Research, CRO & Analytical Labs, Consulting"
"Biotechnology and Pharmaceutical Industries Promotion Office, Ministry Of Economic Affairs","Booth 743, 843","Taipei, Taiwan",,,,https://www.biopharm.org.tw/,The Biotechnology and Pharmaceutical Industries Promotion Office (BPIPO) is the first point of contact for Taiwan's biomedical industries. The office provides business development assistance to companies of all sizes at all stages worldwide.,Regional/Economic Development
"Biotechnology and Pharmaceutical Industries Promotion Office Ministry Of Economic Affairs, TW","Booth 743, 843","Taipei, Taiwan",,,,https://www.biopharm.org.tw/en/home-en.html,,Regional/Economic Development
Biotts,Booth 1847,"Mahwah, New Jersey, United States",,https://www.linkedin.com/company/biotts/mycompany/,,http://www.biotts.com,"Biotts (www.biotts.com) is a clinical-stage biotech company with a pipeline of proprietary drug candidates in oncology, diabetology, and pain.","Preclinical, Clinical"
Biotimize Biotechnology as a Service,Booth 1751,"Piracicaba, São Paulo, Brazil",,https://www.linkedin.com/company/biotimize,,http://www.biotimize.com.br,"Founded in 2016 in São Paulo – Brazil, Biotimize has the mission of transforming lives through biotechnology, enabling ideas, treatments, and dreams to become reality. Biotimize works to develop new approaches to create a scenario where it is possible to democratize access to science and healing and create a positive impact on people.",
Biotech Primer,Booth 2634,"Baltimore, Maryland, United States",https://twitter.com/biotechprimer,https://www.linkedin.com/company/biotech-primer-inc./,https://www.facebook.com/btpinstitute/,http://biotechprimer.com,"Biotech Primer develops and delivers training to help professionals understand the science, business, and regulatory processes essential to the biotechnology, pharmaceutical, molecular diagnostics, and medical device industries. Our industry experts continuously create, update, and deliver the most engaging instruction anywhere. We have the experience and expertise to teach",Consulting
"Boehringer Ingelheim Pharmaceuticals, Inc.",Booth 943,"Ridgefield, Connecticut, United States",,,,http://www.boehringer-ingelheim.com/,,Preclinical
Boehringer Ingelheim Biopharmaceuticals GmbH,Booth 935,"Ingelheim Am Rhein, Germany",,,,http://www.bioxcellence.com/,"Boehringer Ingelheim is working on breakthrough therapies that transform lives, today and for generations to come. As a leading research-driven biopharmaceutical company, the company creates value through innovation in areas of high unmet medical need.",CMO
BLG LLP - Intrinsik Corp.,Booth 839,"Ottawa, Ontario, Canada",,,,http://www.blg.com,"Borden Ladner Gervais LLP (BLG): As the largest, truly full-service Canadian law firm, BLG delivers practical legal advice for domestic and international clients across more practices and industries than any Canadian firm. With 800 lawyers, intellectual property agents and other professionals, BLG serves the legal needs of businesses and institutions across Canada and beyond – from M&A and capital markets, to disputes, financing, and trademark & patent registration.","Legal, Consulting"
Bird & Bird LLP,Booth 936,"London, United Kingdom",,https://www.linkedin.com/company/bird-&-bird-llp/mycompany/,,http://www.twobirds.com,"Our International Life Sciences & Healthcare group works with over 50% of the world’s largest pharmaceutical, biotechnology and medical devices companies. We have the largest patent litigation group in Europe and are recognised by major global directories as a top tier life sciences firm.","Market - Drug (on patent), Market - Generics/OTC, Molecular/Cellular Diagnostics, Non-Molecular Diagnostics, Patient Monitoring Device, Digital Health, Animal Health & Research, VC/PE, Legal, Tech Transfer"
Biovian,Booth 1279,"TURKU, Finland",https://www.twitter.com/BiovianOy,https://www.linkedin.com/company/biovian-ltd/,https://www.facebook.com/Biovian,https://biovian.com/,"Biovian is a Contract Development and Manufacturing Organization (CDMO) that provides premium services to biotech companies developing innovative gene therapies and biopharmaceuticals. Biovian offers its clients One-Stop-Shop GMP services, with modularity available from gene to a finished vial. Biovian focuses on GMP manufacturing of viral vectors and microbially expressed recombinant proteins. Our One-Stop-Shop CDMO services comprise:",CMO
BISC Global,Booth 1664,"Ghent, Belgium",,,,,,
BIOVECTRA,Booth 479,"Charlottetown, Prince Edward Island, Canada",,,,http://www.biovectra.com,,"Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, CRO & Analytical Labs, CMO"
biotechrabbit GmbH,Booth 1445,"Berlin, Germany",,,,http://biotechrabbit.com,,
BIOTYPE,Booth 1335,"Dresden, Germany",https://twitter.com/BiotypeDx,https://www.linkedin.com/company/biotype-gmbh/,,http://www.biotype.de,"BIOTYPE is a European in vitro diagnostics and medical device company, headquartered in Dresden, Germany. With over 20 years of experience, we develop, manufacture, and distribute products & systems for molecular precision diagnostics and analysis of DNA & RNA biomarkers. The company also provides high-quality and IVD-compliant custom solutions services.","Molecular/Cellular Diagnostics, Bioinformatics, CMO"
BSP PHARMACEUTICALS S.p.A,Booth 1065,"Latina Scalo, Latina, Italy",,https://www.linkedin.com/company/bsp-pharmaceuticals/mycompany/,,http://www.bsppharmaceuticals.com,"BSP Pharmaceuticals is a CDMO, technologically developed to meet needs of groundbreakers and specialized in manufacturing Oncology and Immunotherapy drug, including autoimmune disease, immunotherapy & CNS among others, with a specific focus on innovative compounds.","Preclinical, Clinical, Market - Drug (on patent), CMO"
Boehringer Ingelheim Brasil,Booth 1751,"São Paulo, São Paulo, Brazil",,,,,,
Brinter Inc,Booth 2035,"Santa Monica, California, United States",https://twitter.com/WeAreBrinter,https://www.linkedin.com/company/brinter,https://www.facebook.com/WeAreBrinter/,http://www.brinter.com,BRINTER'S 3D BIOPRINTED IMPLANTS -,"Non Drug Delivery Device, Research Technology"
Blau Farmacêutica,Booth 1751,"São Paulo, São Paulo, Brazil",,,,https://www.blau.com,"Blau is a leading Brazilian pharmaceutical company in the institutional segment, founded in 1987 and a pioneer in biotechnology, with a proprietary portfolio of highly complex drugs focused on relevant segments in the industry, such as immunology, hematology, oncology, nephrology, specialties, anti-infectives, among others.",
Blanver,Booth 1751,"Taboao Da Serra, São Paulo, Brazil",,,,,,
BioWin Health Cluster,Booth 1664,"NAMUR, Belgium",,,,http://www.biowin.org,,
Camara Argentina de Biotecnologia,Booth 2949,"Buenos Aires, Ciudad de Buenos Aires, Argentina",,https://www.linkedin.com/company/c%C3%A1mara-argentina-de-biotecnolog%C3%ADa/mycompany/,,http://www.cabiotec.com.ar,"CAB was founded in 2011 with the aim of contributing to a public-private policy in biotechnology and the development of the sector, from a global perspective that integrates from research and development, to the production, marketing and export of biotechnological products.","Market - Drug (on patent), Market - Generics/OTC, Molecular/Cellular Diagnostics, Drug Delivery Device, Bioinformatics, Industrial Chemicals/Products, Food & Feed inputs, Crop Production & enhancement, Animal Health & Research, Associations"
Bioventure Management GmbH,Booth 1335,"Göttingen, Germany",,,,,,
